     Bruto   AliqINSS   Val.INSS  Base I.R.     AliqIR     Val.IR    Liquido
   1415.36        8.0     113.23    1302.13       0.00       0.00    1302.13
   1752.20        9.0     157.70    1594.50       0.00       0.00    1594.50
   2091.56        9.0     188.24    1903.32       0.00       0.00    1903.32
   2093.10        9.0     188.38    1904.72       7.50       0.00    1904.72
   2235.00        9.0     201.15    2033.85       7.50       0.00    2033.85
   2239.00        9.0     201.51    2037.49       7.50      10.01    2027.48
   3176.00       11.0     349.36    2826.64       7.50      69.20    2757.44
   3176.10       11.0     349.37    2826.73      15.00      69.21    2757.52
   3178.90       11.0     349.68    2829.22      15.00      69.58    2759.64
   4214.50       11.0     463.60    3750.90      15.00     207.83    3543.07
   4215.00       11.0     463.65    3751.35      22.50     207.92    3543.43
   5241.00       11.0     576.51    4664.49      22.50     413.38    4251.11
   5242.00       11.0     576.62    4665.38      27.50     413.62    4251.76
   5900.00        0.0     642.34    5257.66      27.50     576.50    4681.16
   6500.00        0.0     642.34    5857.66      27.50     741.50    5116.16
   9000.00        0.0     642.34    8357.66      27.50    1429.00    6928.66
  10000.00        0.0     642.34    9357.66      27.50    1704.00    7653.66
  12000.00        0.0     642.34   11357.66      27.50    2254.00    9103.66
  15000.00        0.0     642.34   14357.66      27.50    3079.00   11278.66
  20000.00        0.0     642.34   19357.66      27.50    4454.00   14903.66
